text,label,language
This product is excellent and works perfectly.,positive,English
I love the quality and fast delivery.,positive,English
The phone battery lasts all day.,positive,English
This item is terrible and stopped working.,negative,English
The quality is poor and the package arrived damaged.,negative,English
Customer service was slow and unhelpful.,negative,English
The product arrived yesterday.,neutral,English
The colour is blue and the size is medium.,neutral,English
यह उत्पाद बहुत अच्छा है और सही काम करता है।,positive,Hindi
मुझे इसकी गुणवत्ता और तेज डिलीवरी बहुत पसंद आई।,positive,Hindi
यह फोन बहुत बढ़िया है।,positive,Hindi
यह उत्पाद बहुत खराब है और काम नहीं करता।,negative,Hindi
गुणवत्ता खराब है और पैकेज टूटा हुआ आया।,negative,Hindi
ग्राहक सेवा बहुत धीमी थी।,negative,Hindi
उत्पाद कल पहुंचा।,neutral,Hindi
इसका रंग नीला है और आकार मध्यम है।,neutral,Hindi
हा उत्पादन खूप छान आहे आणि व्यवस्थित काम करते.,positive,Marathi
मला गुणवत्ता आणि जलद डिलिव्हरी खूप आवडली.,positive,Marathi
हा चित्रपट खूप छान आहे.,positive,Marathi
हे उत्पादन खूप खराब आहे आणि चालत नाही.,negative,Marathi
गुणवत्ता खराब आहे आणि पॅकेज तुटलेले आले.,negative,Marathi
ग्राहक सेवा खूप मंद होती.,negative,Marathi
उत्पादन काल आले.,neutral,Marathi
याचा रंग निळा आहे आणि आकार मध्यम आहे.,neutral,Marathi
இந்த தயாரிப்பு மிகவும் சிறந்தது மற்றும் சரியாக வேலை செய்கிறது.,positive,Tamil
தரம் மற்றும் விரைவான விநியோகம் எனக்கு மிகவும் பிடித்தது.,positive,Tamil
இந்த தொலைபேசி மிகவும் அருமையாக உள்ளது.,positive,Tamil
இந்த தயாரிப்பு மிகவும் மோசமாக உள்ளது மற்றும் வேலை செய்யவில்லை.,negative,Tamil
தரம் மோசமாக உள்ளது மற்றும் தொகுப்பு சேதமாக வந்தது.,negative,Tamil
வாடிக்கையாளர் சேவை மிகவும் மெதுவாக இருந்தது.,negative,Tamil
தயாரிப்பு நேற்று வந்தது.,neutral,Tamil
இதன் நிறம் நீலம் மற்றும் அளவு நடுத்தரம்.,neutral,Tamil
Este producto es excelente y funciona perfectamente.,positive,Spanish
Me encanta la calidad y la entrega rápida.,positive,Spanish
El servicio fue genial y volvería a comprarlo.,positive,Spanish
Este producto es terrible y dejó de funcionar.,negative,Spanish
La calidad es mala y el paquete llegó dañado.,negative,Spanish
Estoy decepcionado con este producto.,negative,Spanish
El producto llegó ayer.,neutral,Spanish
El color es azul y el tamaño es mediano.,neutral,Spanish
Ce produit est excellent et fonctionne parfaitement.,positive,French
J'aime beaucoup la qualité et la livraison rapide.,positive,French
Le service était excellent et je rachèterais ce produit.,positive,French
Ce produit est terrible et ne fonctionne plus.,negative,French
La qualité est mauvaise et le colis est arrivé endommagé.,negative,French
Je suis déçu par ce produit.,negative,French
Le produit est arrivé hier.,neutral,French
La couleur est bleue et la taille est moyenne.,neutral,French
